,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
0,23-08-2021,20:45,Serie A,Giornata n. 1,Lun,Ospiti,V,1,0,Sampdoria,1,11,4,364,9,25,193.0,0.0,0,0,1.1,1.1,10.0,-0.1,-0.1,Report partita
1,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Casa,V,4,1,Cagliari,4,17,4,235,18,75,184.0,1.0,1,1,2.7,2.0,12.0,1.3,1.0,Report partita
2,12-09-2021,18:00,Serie A,Giornata n. 3,Dom,Casa,V,2,0,Lazio,2,20,3,150,10,67,190.0,0.0,0,1,3.0,2.3,11.0,-1.0,-0.3,Report partita
4,19-09-2021,20:45,Serie A,Giornata n. 4,Dom,Ospiti,N,1,1,Juventus,1,13,3,231,8,33,227.0,1.0,0,0,0.7,0.7,5.0,0.3,0.3,Report partita
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Casa,V,2,0,Venezia,2,14,4,286,14,50,174.0,1.0,0,0,1.7,1.7,12.0,0.3,0.3,Report partita
6,25-09-2021,15:00,Serie A,Giornata n. 6,Sab,Ospiti,V,2,1,Spezia,2,18,5,278,11,40,171.0,1.0,0,0,1.9,1.9,11.0,0.1,0.1,Report partita
8,03-10-2021,20:45,Serie A,Giornata n. 7,Dom,Ospiti,V,3,2,Atalanta,3,13,7,538,23,43,167.0,0.0,0,0,3.0,3.0,24.0,0.0,0.0,Report partita
9,16-10-2021,20:45,Serie A,Giornata n. 8,Sab,Casa,V,3,2,Hellas Verona,2,16,3,188,6,33,203.0,0.0,1,1,1.5,0.8,5.0,0.5,0.2,Report partita
11,23-10-2021,20:45,Serie A,Giornata n. 9,Sab,Ospiti,V,4,2,Bologna,4,15,7,467,27,57,176.0,1.0,0,0,0.9,0.9,6.0,3.1,3.1,Report partita
12,26-10-2021,20:45,Serie A,Giornata n. 10,Mar,Casa,V,1,0,Torino,1,10,2,200,10,50,197.0,0.0,0,0,0.9,0.9,9.0,0.1,0.1,Report partita
13,31-10-2021,20:45,Serie A,Giornata n. 11,Dom,Ospiti,V,2,1,Roma,2,7,2,286,14,50,183.0,2.0,1,1,1.9,1.1,16.0,0.1,-0.1,Report partita
15,07-11-2021,20:45,Serie A,Giornata n. 12,Dom,Casa,N,1,1,Inter,0,16,4,250,0,0,189.0,1.0,0,0,0.9,0.9,6.0,-0.9,-0.9,Report partita
16,20-11-2021,20:45,Serie A,Giornata n. 13,Sab,Ospiti,P,3,4,Fiorentina,2,16,6,375,13,33,158.0,0.0,0,0,2.1,2.1,13.0,-0.1,-0.1,Report partita
18,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Casa,P,1,3,Sassuolo,1,15,2,133,7,50,159.0,0.0,0,0,1.1,1.1,7.0,-0.1,-0.1,Report partita
19,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Ospiti,V,3,0,Genoa,3,18,5,278,17,60,193.0,1.0,0,0,1.0,1.0,6.0,2.0,2.0,Report partita
20,04-12-2021,15:00,Serie A,Giornata n. 16,Sab,Casa,V,2,0,Salernitana,2,22,7,318,9,29,172.0,0.0,0,0,2.9,2.9,13.0,-0.9,-0.9,Report partita
22,11-12-2021,20:45,Serie A,Giornata n. 17,Sab,Ospiti,N,1,1,Udinese,1,12,1,83,8,100,144.0,0.0,0,0,1.1,1.1,9.0,-0.1,-0.1,Report partita
23,19-12-2021,20:45,Serie A,Giornata n. 18,Dom,Casa,P,0,1,Napoli,0,12,2,167,0,0,187.0,0.0,0,0,0.5,0.5,4.0,-0.5,-0.5,Report partita
24,22-12-2021,20:45,Serie A,Giornata n. 19,Mer,Ospiti,V,4,2,Empoli,4,18,8,444,22,50,176.0,2.0,0,0,1.4,1.4,8.0,2.6,2.6,Report partita
25,06-01-2022,18:30,Serie A,Giornata n. 20,Gio,Casa,V,3,1,Roma,3,17,3,176,12,67,227.0,1.0,1,2,2.9,1.3,8.0,0.1,0.7,Report partita
26,09-01-2022,12:30,Serie A,Giornata n. 21,Dom,Ospiti,V,3,0,Venezia,3,17,6,353,12,33,173.0,0.0,1,1,2.8,2.6,16.0,0.2,-0.6,Report partita
28,17-01-2022,18:30,Serie A,Giornata n. 22,Lun,Casa,P,1,2,Spezia,1,24,8,333,4,13,174.0,1.0,0,1,2.5,1.8,7.0,-1.5,-0.8,Report partita
29,23-01-2022,20:45,Serie A,Giornata n. 23,Dom,Casa,N,0,0,Juventus,0,14,4,286,0,0,207.0,1.0,0,0,0.6,0.6,5.0,-0.6,-0.6,Report partita
30,05-02-2022,18:00,Serie A,Giornata n. 24,Sab,Ospiti,V,2,1,Inter,2,10,3,300,20,67,203.0,1.0,0,0,1.2,1.2,12.0,0.8,0.8,Report partita
32,13-02-2022,12:30,Serie A,Giornata n. 25,Dom,Casa,V,1,0,Sampdoria,1,15,7,467,7,14,142.0,0.0,0,0,1.4,1.4,10.0,-0.4,-0.4,Report partita
33,19-02-2022,20:45,Serie A,Giornata n. 26,Sab,Ospiti,N,2,2,Salernitana,2,13,5,385,15,40,190.0,1.0,0,0,1.3,1.3,10.0,0.7,0.7,Report partita
34,25-02-2022,18:45,Serie A,Giornata n. 27,Ven,Casa,N,1,1,Udinese,1,9,3,333,11,33,175.0,0.0,0,0,0.8,0.8,9.0,0.2,0.2,Report partita
36,06-03-2022,20:45,Serie A,Giornata n. 28,Dom,Ospiti,V,1,0,Napoli,1,12,7,583,8,14,184.0,0.0,0,0,1.2,1.2,10.0,-0.2,-0.2,Report partita
37,12-03-2022,20:45,Serie A,Giornata n. 29,Sab,Casa,V,1,0,Empoli,1,15,5,333,7,20,156.0,1.0,0,0,0.7,0.7,4.0,0.3,0.3,Report partita
38,19-03-2022,20:45,Serie A,Giornata n. 30,Sab,Ospiti,V,1,0,Cagliari,1,21,5,238,5,20,158.0,0.0,0,0,2.4,2.4,12.0,-1.4,-1.4,Report partita
39,04-04-2022,20:45,Serie A,Giornata n. 31,Lun,Casa,N,0,0,Bologna,0,33,7,212,0,0,168.0,0.0,0,0,2.2,2.2,7.0,-2.2,-2.2,Report partita
40,10-04-2022,20:45,Serie A,Giornata n. 32,Dom,Ospiti,N,0,0,Torino,0,14,4,286,0,0,195.0,0.0,0,0,0.8,0.8,6.0,-0.8,-0.8,Report partita
41,15-04-2022,21:00,Serie A,Giornata n. 33,Ven,Casa,V,2,0,Genoa,2,10,5,500,20,40,133.0,0.0,0,0,1.6,1.6,17.0,0.4,0.4,Report partita
43,24-04-2022,20:45,Serie A,Giornata n. 34,Dom,Ospiti,V,2,1,Lazio,2,25,8,320,8,25,182.0,2.0,0,0,2.1,2.1,8.0,-0.1,-0.1,Report partita
44,01-05-2022,15:00,Serie A,Giornata n. 35,Dom,Casa,V,1,0,Fiorentina,1,13,2,154,8,50,148.0,0.0,0,0,1.3,1.3,10.0,-0.3,-0.3,Report partita
45,08-05-2022,20:45,Serie A,Giornata n. 36,Dom,Ospiti,V,3,1,Hellas Verona,3,18,8,444,17,38,170.0,0.0,0,0,2.9,2.9,16.0,0.1,0.1,Report partita
46,15-05-2022,18:00,Serie A,Giornata n. 37,Dom,Casa,V,2,0,Atalanta,2,12,6,500,17,33,210.0,1.0,0,0,1.5,1.5,12.0,0.5,0.5,Report partita
47,22-05-2022,18:00,Serie A,Giornata n. 38,Dom,Ospiti,V,3,0,Sassuolo,3,18,11,611,17,27,134.0,0.0,0,0,3.1,3.1,17.0,-0.1,-0.1,Report partita
